function_name,polynomial_size,max_error,l2_error
naive,48,0.00000000000000118388740947454652,0.00000000000000299365593964044051
karatsuba,48,0.00000000000000137877744627355870,0.00000000000000320688492701231954
toom3,48,0.00000000000000179573912410016887,0.00000000000000512854034481935188
toom4,48,0.00000000000000179573912410016887,0.00000000000000512854034481935188
naive,48,0.00000000000000113917267620822315,0.00000000000000292336837202758070
karatsuba,48,0.00000000000000170390095239458330,0.00000000000000450469643590967640
toom3,48,0.00000000000000316271345583449872,0.00000000000001054834183011572768
toom4,48,0.00000000000000316271345583449872,0.00000000000001054834183011572768
naive,48,0.00000000000000130386486425241581,0.00000000000000310417740140335235
karatsuba,48,0.00000000000000220605192424666315,0.00000000000000396301314899760540
toom3,48,0.00000000000000213087453467099789,0.00000000000000542001653942284638
toom4,48,0.00000000000000213087453467099789,0.00000000000000542001653942284638
naive,48,0.00000000000000109657229303985614,0.00000000000000297031638014978257
karatsuba,48,0.00000000000000172090069843706824,0.00000000000000396771487495739032
toom3,48,0.00000000000000257687348988084785,0.00000000000000684331313992515661
toom4,48,0.00000000000000257687348988084785,0.00000000000000684331313992515661
naive,48,0.00000000000000131230021715478047,0.00000000000000358735562458161024
karatsuba,48,0.00000000000000128430551647462161,0.00000000000000421506708532849175
toom3,48,0.00000000000000299079847481317277,0.00000000000000911520725944661068
toom4,48,0.00000000000000299079847481317277,0.00000000000000911520725944661068
naive,48,0.00000000000000118928795001485624,0.00000000000000264481060028323495
karatsuba,48,0.00000000000000170758591419156110,0.00000000000000395905109335171706
toom3,48,0.00000000000000303484949126894833,0.00000000000000723612630311682511
toom4,48,0.00000000000000303484949126894833,0.00000000000000723612630311682511
naive,48,0.00000000000000165784041710893351,0.00000000000000368547505978925205
karatsuba,48,0.00000000000000367123010109181769,0.00000000000000605452036226833833
toom3,48,0.00000000000000421072262589530845,0.00000000000000916869896805542578
toom4,48,0.00000000000000421072262589530845,0.00000000000000916869896805542578
naive,64,0.00000000000000179408598401411424,0.00000000000000469279975544818353
karatsuba,64,0.00000000000000249340149680877915,0.00000000000000713941307430850585
toom3,64,0.00000000000000332101720770097788,0.00000000000000955717999110452086
toom4,64,0.00000000000000332101720770097788,0.00000000000000955717999110452086
naive,64,0.00000000000000261302213768744244,0.00000000000000459009387713850853
karatsuba,64,0.00000000000000233582906663170209,0.00000000000000774534545997603791
toom3,64,0.00000000000000203674748667736941,0.00000000000000676600529317484144
toom4,64,0.00000000000000203674748667736941,0.00000000000000676600529317484144
naive,64,0.00000000000000162352338579571530,0.00000000000000501034913591249830
karatsuba,64,0.00000000000000225339921343641619,0.00000000000000751355090858938952
toom3,64,0.00000000000000278898985561794750,0.00000000000000842989390516611467
toom4,64,0.00000000000000278898985561794750,0.00000000000000842989390516611467
naive,64,0.00000000000000260553390261546207,0.00000000000000431002145541417515
karatsuba,64,0.00000000000000303703664727572719,0.00000000000000769419913057775347
toom3,64,0.00000000000000341029942731181439,0.00000000000001014638726509083190
toom4,64,0.00000000000000341029942731181439,0.00000000000001014638726509083190
naive,64,0.00000000000000161952610610955655,0.00000000000000431104657387949599
karatsuba,64,0.00000000000000349560883431685023,0.00000000000000838146853298612130
toom3,64,0.00000000000000462119171053141077,0.00000000000000964803950225491292
toom4,64,0.00000000000000462119171053141077,0.00000000000000964803950225491292
naive,64,0.00000000000000201950617680574901,0.00000000000000572869966604302503
karatsuba,64,0.00000000000000265166966436174567,0.00000000000000650272002786587337
toom3,64,0.00000000000000367084615147563609,0.00000000000000979576376812662629
toom4,64,0.00000000000000367084615147563609,0.00000000000000979576376812662629
naive,64,0.00000000000000200973500889594055,0.00000000000000494350036602465448
karatsuba,64,0.00000000000000444589792935272494,0.00000000000000754505986721326642
toom3,64,0.00000000000000696019022380362613,0.00000000000001669991144210212278
toom4,64,0.00000000000000696019022380362613,0.00000000000001669991144210212278
naive,64,0.00000000000000185454908255661053,0.00000000000000514350240782092047
karatsuba,64,0.00000000000000217998273841101826,0.00000000000000653053140544842224
toom3,64,0.00000000000000381151275813098714,0.00000000000000957633041742640428
toom4,64,0.00000000000000381151275813098714,0.00000000000000957633041742640428
naive,64,0.00000000000000269334699539447307,0.00000000000000487290081877136473
karatsuba,64,0.00000000000000373825464156243872,0.00000000000000851872700230197977
toom3,64,0.00000000000000320418071306532751,0.00000000000001010061478696316535
toom4,64,0.00000000000000320418071306532751,0.00000000000001010061478696316535
naive,64,0.00000000000000323387909218720696,0.00000000000000617821219800936656
karatsuba,64,0.00000000000000346913838421788001,0.00000000000000863276589989116165
toom3,64,0.00000000000000481612452233097889,0.00000000000001286111791457412694
toom4,64,0.00000000000000481612452233097889,0.00000000000001286111791457412694
naive,64,0.00000000000000120525900169702299,0.00000000000000389807279487531910
karatsuba,64,0.00000000000000257840593561554616,0.00000000000000763318304130280789
toom3,64,0.00000000000000284578640498336558,0.00000000000000913854755198368601
toom4,64,0.00000000000000284578640498336558,0.00000000000000913854755198368601
naive,64,0.00000000000000174263628091453979,0.00000000000000406198038649132075
karatsuba,64,0.00000000000000288836609027963970,0.00000000000000718496012719575004
toom3,64,0.00000000000000302671819008086962,0.00000000000000897531021384697197
toom4,64,0.00000000000000302671819008086962,0.00000000000000897531021384697197
naive,64,0.00000000000000233066213508874202,0.00000000000000497235366372072139
karatsuba,64,0.00000000000000275944209008396847,0.00000000000000740013459078235731
toom3,64,0.00000000000000364341578580654827,0.00000000000001023334256468044771
toom4,64,0.00000000000000364341578580654827,0.00000000000001023334256468044771
naive,64,0.00000000000000244179247167005259,0.00000000000000517298669970452611
karatsuba,64,0.00000000000000997051948771668653,0.00000000000001281556637035544255
toom3,64,0.00000000000000568194219473621575,0.00000000000001308346852668403408
toom4,64,0.00000000000000568194219473621575,0.00000000000001308346852668403408
naive,64,0.00000000000000209750146302482442,0.00000000000000513936384026997586
karatsuba,64,0.00000000000000360852996974503098,0.00000000000000727566535667758549
toom3,64,0.00000000000000152760599086133959,0.00000000000000544603382501531570
toom4,64,0.00000000000000152760599086133959,0.00000000000000544603382501531570
naive,64,0.00000000000000184262146975435037,0.00000000000000549810855782057451
karatsuba,64,0.00000000000000476031533111976288,0.00000000000000914164245613770262
toom3,64,0.00000000000000260743935233909658,0.00000000000000991259592861612038
toom4,64,0.00000000000000260743935233909658,0.00000000000000991259592861612038
naive,64,0.00000000000000097463711359582653,0.00000000000000310474206850470435
karatsuba,64,0.00000000000000293637417285386492,0.00000000000000634748592627105299
toom3,64,0.00000000000000338028186951808234,0.00000000000000810345475151051352
toom4,64,0.00000000000000338028186951808234,0.00000000000000810345475151051352
naive,64,0.00000000000000171838836909829511,0.00000000000000446786864780344364
karatsuba,64,0.00000000000000486808903077773872,0.00000000000000958021748369176861
toom3,64,0.00000000000000372605346219366997,0.00000000000001081443338601759218
toom4,64,0.00000000000000372605346219366997,0.00000000000001081443338601759218
naive,64,0.00000000000000130925962415344789,0.00000000000000427406111540019118
karatsuba,64,0.00000000000000679839336171843468,0.00000000000001344510719218051033
toom3,64,0.00000000000000315215676256097709,0.00000000000000842107660144742938
toom4,64,0.00000000000000315215676256097709,0.00000000000000842107660144742938
naive,64,0.00000000000000162551392716909054,0.00000000000000465566735876886803
karatsuba,64,0.00000000000000317151787277231350,0.00000000000000787513005966957755
toom3,64,0.00000000000000440887018756125718,0.00000000000000829424962180439024
toom4,64,0.00000000000000440887018756125718,0.00000000000000829424962180439024
naive,64,0.00000000000000191200676553478722,0.00000000000000508605237567423966
karatsuba,64,0.00000000000000741541071462294046,0.00000000000001056403700288942249
toom3,64,0.00000000000000327414969608818769,0.00000000000001022077802946529426
toom4,64,0.00000000000000327414969608818769,0.00000000000001022077802946529426
naive,64,0.00000000000000236221424348023600,0.00000000000000503044571529330747
karatsuba,64,0.00000000000000273787473318481803,0.00000000000000744838524486114351
toom3,64,0.00000000000000450231770330905908,0.00000000000001314142974468958036
toom4,64,0.00000000000000450231770330905908,0.00000000000001314142974468958036
naive,64,0.00000000000000142909625684531484,0.00000000000000428396042117023830
karatsuba,64,0.00000000000000318362577037200905,0.00000000000000834982801568474448
toom3,64,0.00000000000000665121405692880151,0.00000000000001494589291247747590
toom4,64,0.00000000000000665121405692880151,0.00000000000001494589291247747590
naive,64,0.00000000000000144453613938053801,0.00000000000000472427169102586178
karatsuba,64,0.00000000000000306427296912984604,0.00000000000000750717437064472031
